,altura_ind,peso_ind,altura_lanzamiento,long_pulgar,long_medio,genero,edad,distancia_ojo_mano,cara_inicial,cara_final,genero_masc,genero_fem,cara_ini_sol,cara_ini_aquila,cara_fin_sol,cara_fin_aquila
0,1.59,70,107,6.5,8.3,femenino,28,61,sol,sol,0,0,0,0,0,0
1,1.59,70,107,6.5,8.3,femenino,28,61,aguila,sol,0,0,1,0,0,0
2,1.59,70,107,6.5,8.3,femenino,28,61,sol,sol,0,0,0,0,0,0
3,1.59,70,107,6.5,8.3,femenino,28,61,aguila,aguila,0,0,1,0,1,0
4,1.59,70,107,6.5,8.3,femenino,28,61,aguila,aguila,0,0,1,0,1,0
5,1.59,70,107,6.5,8.3,femenino,28,61,aguila,sol,0,0,1,0,0,0
6,1.59,70,107,6.5,8.3,femenino,28,61,Sol,aguila,0,0,1,0,1,0
7,1.59,70,107,6.5,8.3,femenino,28,61,aguila,aguila,0,0,1,0,1,0
8,1.59,70,107,6.5,8.3,femenino,28,61,sol,aguila,0,0,0,0,1,0
9,1.59,70,107,6.5,8.3,femenino,28,61,aguila,sol,0,0,1,0,0,0
10,1.58,68,102,6.5,7.7,femenino,24,45,aguila,aguila,0,0,1,0,1,0
11,1.58,68,102,6.5,7.7,femenino,24,45,sol,sol,0,0,0,0,0,0
12,1.58,68,102,6.5,7.7,femenino,24,45,aguila,aguila,0,0,1,0,1,0
13,1.58,68,102,6.5,7.7,femenino,24,45,sol,aguila,0,0,0,0,1,0
14,1.58,68,102,6.5,7.7,femenino,24,45,aguila,sol,0,0,1,0,0,0
15,1.58,68,102,6.5,7.7,femenino,24,45,sol,sol,0,0,0,0,0,0
16,1.58,68,102,6.5,7.7,femenino,24,45,aguila,sol,0,0,1,0,0,0
17,1.58,68,102,6.5,7.7,femenino,24,45,sol,sol,0,0,0,0,0,0
18,1.58,68,102,6.5,7.7,femenino,24,45,aguila,sol,0,0,1,0,0,0
19,1.58,68,102,6.5,7.7,femenino,24,45,sol,aguila,0,0,0,0,1,0
20,1.52,53,98,6.4,7.5,femenino,35,49,aguila,sol,0,0,1,0,0,0
21,1.52,53,98,6.4,7.5,femenino,35,49,sol,aguila,0,0,0,0,1,0
22,1.52,53,98,6.4,7.5,femenino,35,49,aguila,aguila,0,0,1,0,1,0
23,1.52,53,98,6.4,7.5,femenino,35,49,sol,aguila,0,0,0,0,1,0
24,1.52,53,98,6.4,7.5,femenino,35,49,aguila,aguila,0,0,1,0,1,0
25,1.52,53,98,6.4,7.5,femenino,35,49,sol,aguila,0,0,0,0,1,0
26,1.52,53,98,6.4,7.5,femenino,35,49,aguila,sol,0,0,1,0,0,0
27,1.52,53,98,6.4,7.5,femenino,35,49,sol,aguila,0,0,0,0,1,0
28,1.52,53,98,6.4,7.5,femenino,35,49,aguila,sol,0,0,1,0,0,0
29,1.52,53,98,6.4,7.5,femenino,35,49,sol,sol,0,0,0,0,0,0
30,1.79,88,119,3.0,9.0,masculino,37,58,aguila,sol,1,1,1,0,0,0
31,1.79,88,119,3.0,9.0,masculino,37,58,sol,sol,1,1,0,0,0,0
32,1.79,88,119,3.0,9.0,masculino,37,58,aguila,sol,1,1,1,0,0,0
33,1.79,88,119,3.0,9.0,masculino,37,58,sol,sol,1,1,0,0,0,0
34,1.79,88,119,3.0,9.0,masculino,37,58,aguila,sol,1,1,1,0,0,0
35,1.79,88,119,3.0,9.0,masculino,37,58,sol,aguila,1,1,0,0,1,0
36,1.79,88,119,3.0,9.0,masculino,37,58,aguila,sol,1,1,1,0,0,0
37,1.79,88,119,3.0,9.0,masculino,37,58,sol,sol,1,1,0,0,0,0
38,1.79,88,119,3.0,9.0,masculino,37,58,aguila,aguila,1,1,1,0,1,0
39,1.79,88,119,3.0,9.0,masculino,37,58,sol,sol,1,1,0,0,0,0
40,1.6,68,34,6.5,8.0,femenino,63,59,aguila,aguila,0,0,1,0,1,0
41,1.6,68,34,6.5,8.0,femenino,63,59,sol,sol,0,0,0,0,0,0
42,1.6,68,34,6.5,8.0,femenino,63,59,aguila,aguila,0,0,1,0,1,0
43,1.6,68,34,6.5,8.0,femenino,63,59,sol,sol,0,0,0,0,0,0
44,1.6,68,34,6.5,8.0,femenino,63,59,aguila,sol,0,0,1,0,0,0
45,1.6,68,34,6.5,8.0,femenino,63,59,sol,aguila,0,0,0,0,1,0
46,1.6,68,34,6.5,8.0,femenino,63,59,aguila,aguila,0,0,1,0,1,0
47,1.6,68,34,6.5,8.0,femenino,63,59,sol,aguila,0,0,0,0,1,0
48,1.6,68,34,6.5,8.0,femenino,63,59,aguila,sol,0,0,1,0,0,0
49,1.6,68,34,6.5,8.0,femenino,63,59,sol,sol,0,0,0,0,0,0
50,1.5,40,90,2.5,7.0,masculino,8,32,sol,sol,1,1,0,0,0,0
51,1.45,49,85,3.0,6.5,femenino,9,30,aguila,aguila,0,0,1,0,1,0
52,1.6,88,120,3.5,8.0,femenino,41,34,sol,sol,0,0,0,0,0,0
53,1.53,47,120,2.3,3.3,femenino,20,30,sol,sol,0,0,0,0,0,0
