altura_ind,peso_ind,altura_lanzamiento,long_pulgar,long_medio,genero,edad,distancia_ojo_mano,cara_inicial,cara_final
1.59,70,107,6.5,8.3,femenino,28,61,sol,sol
1.59,70,107,6.5,8.3,femenino,28,61,aguila,sol
1.59,70,107,6.5,8.3,femenino,28,61,sol,sol
1.59,70,107,6.5,8.3,femenino,28,61,aguila,aguila
1.59,70,107,6.5,8.3,femenino,28,61,aguila,aguila
1.59,70,107,6.5,8.3,femenino,28,61,aguila,sol
1.59,70,107,6.5,8.3,femenino,28,61,Sol,aguila
1.59,70,107,6.5,8.3,femenino,28,61,aguila,aguila
1.59,70,107,6.5,8.3,femenino,28,61,sol,aguila
1.59,70,107,6.5,8.3,femenino,28,61,aguila,sol
1.58,68,102,6.5,7.7,femenino,24,45,aguila,aguila
1.58,68,102,6.5,7.7,femenino,24,45,sol,sol
1.58,68,102,6.5,7.7,femenino,24,45,aguila,aguila
1.58,68,102,6.5,7.7,femenino,24,45,sol,aguila
1.58,68,102,6.5,7.7,femenino,24,45,aguila,sol
1.58,68,102,6.5,7.7,femenino,24,45,sol,sol
1.58,68,102,6.5,7.7,femenino,24,45,aguila,sol
1.58,68,102,6.5,7.7,femenino,24,45,sol,sol
1.58,68,102,6.5,7.7,femenino,24,45,aguila,sol
1.58,68,102,6.5,7.7,femenino,24,45,sol,aguila
1.52,53,98,6.4,7.5,femenino,35,49,aguila,sol
1.52,53,98,6.4,7.5,femenino,35,49,sol,aguila
1.52,53,98,6.4,7.5,femenino,35,49,aguila,aguila
1.52,53,98,6.4,7.5,femenino,35,49,sol,aguila
1.52,53,98,6.4,7.5,femenino,35,49,aguila,aguila
1.52,53,98,6.4,7.5,femenino,35,49,sol,aguila
1.52,53,98,6.4,7.5,femenino,35,49,aguila,sol
1.52,53,98,6.4,7.5,femenino,35,49,sol,aguila
1.52,53,98,6.4,7.5,femenino,35,49,aguila,sol
1.52,53,98,6.4,7.5,femenino,35,49,sol,sol
1.79,88,119,3,9,masculino,37,58,aguila,sol
1.79,88,119,3,9,masculino,37,58,sol,sol
1.79,88,119,3,9,masculino,37,58,aguila,sol
1.79,88,119,3,9,masculino,37,58,sol,sol
1.79,88,119,3,9,masculino,37,58,aguila,sol
1.79,88,119,3,9,masculino,37,58,sol,aguila
1.79,88,119,3,9,masculino,37,58,aguila,sol
1.79,88,119,3,9,masculino,37,58,sol,sol
1.79,88,119,3,9,masculino,37,58,aguila,aguila
1.79,88,119,3,9,masculino,37,58,sol,sol
1.6,68,34,6.5,8,femenino,63,59,aguila,aguila
